id,Date,time,temp,hum,soil_moisture,par
89,2/4/2026,1:40:50,21.23,41.08,20.08,870
90,2/4/2026,2:03:36,13.73,81.24,22.74,1076
91,2/4/2026,4:05:47,15.86,35.28,29.73,1747
92,2/4/2026,6:33:35,28.29,15.93,26.88,1156
93,2/4/2026,6:38:05,34.75,67.31,12.5,271
94,2/4/2026,7:19:06,30.3,15.82,21.37,2156
95,2/4/2026,8:06:58,28.59,54.31,10.82,1090
96,2/4/2026,12:49:29,12.83,82.83,21.85,2115
97,2/4/2026,16:14:39,23.41,67.38,19.87,1410
98,2/4/2026,16:53:49,27.31,55.55,15.29,1579
99,2/4/2026,18:05:40,16.52,46.82,11.95,2064
100,2/4/2026,19:25:35,15.69,45.48,24.78,1778
101,3/1/2026,6:32:22,21.51,28.31,24.73,1549
102,3/1/2026,8:00:03,33.26,21.16,13.79,603
103,3/1/2026,9:39:13,19.05,55.33,29.13,1693
104,3/1/2026,11:51:33,21.48,79.73,29.11,1521
105,3/1/2026,12:25:44,30.88,51.47,23.65,62
106,3/1/2026,14:52:20,25.9,31.23,16.79,844
107,3/1/2026,18:51:39,32.01,41.55,21.2,627
108,3/1/2026,19:55:42,24.94,24.23,12.33,1051
109,3/2/2026,1:11:14,34.49,23.49,26.59,1007
110,3/2/2026,2:00:42,30.65,50.82,17.05,1564
111,3/2/2026,11:18:28,13.8,27.39,15.3,2166
112,3/2/2026,11:46:54,16.9,74.46,17.68,1829
113,3/2/2026,13:00:56,23.72,31.8,20.71,809
114,3/2/2026,16:05:01,28.73,11.12,23.81,1767
115,3/2/2026,18:54:01,10.19,45.16,29.71,837
116,3/2/2026,19:17:32,28.04,25.01,22.03,860
117,3/2/2026,21:19:12,31.03,61.4,11.24,1393
118,3/2/2026,22:36:39,16.22,40.46,10.39,1408
119,3/3/2026,0:15:45,19.6,45.86,26.99,22
120,3/3/2026,2:34:53,30.13,69.23,26.47,1286
121,3/3/2026,3:19:31,15.37,70.23,27.71,287
122,3/3/2026,5:08:25,26.97,78.92,13.89,2166
123,3/3/2026,8:17:13,29.23,23.34,17.7,46
124,3/3/2026,13:42:54,32.99,17.04,18.3,1129
125,3/3/2026,15:20:06,32.61,34.14,28.8,1243
126,3/3/2026,18:34:41,23,55.65,19.24,2181
127,3/4/2026,0:40:35,30.52,19.16,23.29,1834
128,3/4/2026,2:09:14,30.87,16.95,16.75,1786
129,3/4/2026,3:14:16,20.22,26.26,26.38,1988
130,3/4/2026,4:48:03,26.31,78.05,26.22,704
131,3/4/2026,7:01:05,20.32,27.11,20.7,631
132,3/4/2026,8:34:13,11.21,76.62,23.12,1578
133,3/4/2026,19:20:16,21.94,48.89,18.39,727
134,4/1/2026,0:26:02,28.25,10.68,12.35,114
135,4/1/2026,0:27:45,14.87,67.66,10.52,2139
136,4/1/2026,1:49:42,32.53,14.78,26.24,1402
137,4/1/2026,1:55:54,17.12,40.33,19.99,1059
138,4/1/2026,2:51:15,19.51,48.06,19.85,1968
139,4/1/2026,6:35:19,24.62,31.42,11.45,198
140,4/1/2026,10:43:12,12.03,78.7,27.09,359
141,4/1/2026,13:43:53,19.21,6.23,18.32,1049
142,4/1/2026,14:09:00,34.28,67.89,24.21,818
143,4/1/2026,14:31:24,24.4,66.94,11.86,1002
144,4/1/2026,14:50:45,20.03,72.36,17.34,644
145,4/1/2026,17:39:40,31.71,76.78,25.58,84
146,4/1/2026,18:27:05,16.95,34.25,16.48,925
147,4/1/2026,23:19:26,16.09,25.62,23.09,2194
148,4/2/2026,0:12:08,15.06,79.68,24.63,1888
149,4/2/2026,1:28:50,16.2,41.16,29.6,172
150,4/2/2026,4:23:32,21.67,14.83,22.47,868
151,4/2/2026,11:05:17,29.8,59.32,20.25,1682
152,4/2/2026,19:42:30,34.17,38.69,11.78,1542
153,4/2/2026,20:55:55,29.6,28.65,25.99,1942
154,4/2/2026,21:53:13,29.09,58.37,16.84,1340
155,4/2/2026,22:30:53,18.93,13.45,27.13,224
156,4/3/2026,1:06:30,17.97,80.74,20.62,1319
157,4/3/2026,14:06:40,23.34,39.15,22.57,1106
158,4/3/2026,18:40:50,21.92,9.37,25.66,1956
159,4/3/2026,20:13:31,34.96,59.52,22.43,2188
160,4/3/2026,20:20:42,22.43,60.75,21.46,791
161,4/3/2026,20:36:22,31.24,7.66,28.19,317
162,4/3/2026,23:29:26,23.55,47.53,25.55,1905
163,4/4/2026,1:42:48,31.6,20.19,11.84,2236
164,4/4/2026,2:49:31,11.17,10.22,20.56,1455
165,4/4/2026,4:20:11,10.06,77.53,23.07,568
166,4/4/2026,6:06:55,29.19,45.59,26.18,1147
167,4/4/2026,10:53:34,28.44,80.56,23.19,1340
168,4/4/2026,12:53:36,24.41,48.27,29.86,1506
169,4/4/2026,15:11:31,27.25,82.21,19.39,1220
170,4/4/2026,16:33:54,19.14,21.16,23.75,1857
171,4/4/2026,19:48:34,17.87,47.14,29.94,613
172,5/1/2026,0:17:54,11.55,77.97,18.48,1312
173,5/1/2026,3:36:54,18.88,71.45,12.05,2292
174,5/1/2026,5:21:04,26.43,54.39,15.8,1679
175,5/1/2026,5:32:45,25.94,24.65,16.51,1069
176,5/1/2026,7:23:06,21.42,41.16,17.61,616
177,5/1/2026,7:42:44,10.86,65.6,20.64,1480
178,5/1/2026,11:19:02,15.09,52.96,22.78,820
179,5/1/2026,14:36:53,11.91,37.53,27.1,56
180,5/1/2026,15:00:15,19.39,67.72,29.56,1944
181,5/1/2026,15:10:47,31.21,27.79,26.14,2264
182,5/1/2026,21:24:01,30.42,31.45,24.82,571
183,5/1/2026,21:48:13,28.31,45.86,21.27,434
184,5/1/2026,23:14:48,20.19,55.04,14.14,391
185,5/2/2026,6:49:40,20.87,23.1,14.54,307
186,5/2/2026,7:58:58,20.65,39.32,22.15,1547
187,5/2/2026,8:14:38,25.01,11.56,25.03,2029
188,5/2/2026,8:26:19,23.92,35.77,26.67,1698
189,5/2/2026,8:35:58,18.39,83.61,25.83,1672
190,5/2/2026,11:40:19,29.13,58.79,23.19,1661
191,5/2/2026,13:52:58,13.21,75.61,23.02,570
192,5/2/2026,16:38:04,17.39,27.04,23.95,399
193,5/2/2026,16:40:56,23.39,47.22,21.5,1015
194,5/2/2026,17:44:10,21.86,17.39,23.19,2254
195,5/2/2026,19:03:08,25.38,5.75,25.75,283
196,5/2/2026,19:33:11,29.28,48.56,26.63,1090
197,5/2/2026,21:27:02,34.39,77.5,28.41,110
198,5/3/2026,4:18:12,17.47,77.96,16.32,608
199,5/3/2026,7:56:21,32.06,22.8,12.62,631
200,5/3/2026,11:48:19,33.73,30.06,24.67,1031
201,5/3/2026,13:32:31,27.06,43.36,21.3,1808
202,5/3/2026,14:48:05,33.39,21.13,19.02,1522
203,5/3/2026,14:48:42,10.94,31.94,29.46,950
204,5/3/2026,16:40:17,19.68,76.48,16.13,1398
205,5/3/2026,17:00:20,19.7,45.62,26.23,757
206,5/3/2026,18:38:26,30.43,60.74,27.04,589
207,5/3/2026,20:53:55,18.33,48.99,22.76,1131
208,5/4/2026,0:14:00,25.59,5.41,21.66,2186
209,5/4/2026,4:23:06,24.46,54.33,17.81,1755
210,5/4/2026,6:32:59,26.89,61.12,16.13,2236
211,5/4/2026,8:29:47,26.22,77.21,19.79,557
212,5/4/2026,9:04:16,31.45,59.92,15.72,1587
213,5/4/2026,9:28:51,34.05,19.94,10.17,1086
214,5/4/2026,14:08:18,23.01,40.75,11.87,1324
215,5/4/2026,16:54:52,10.88,37.27,21.13,140
216,6/1/2026,2:20:40,28.16,29.65,23.61,2062
217,6/1/2026,5:54:14,34.97,7.44,14.85,1117
218,6/1/2026,6:33:12,28.25,58.02,13.53,636
219,6/1/2026,7:30:21,14.76,18.97,19.93,106
220,6/1/2026,7:38:29,16.31,21.18,22.05,887
221,6/1/2026,11:16:16,18.06,78.49,24.65,354
222,6/1/2026,11:17:56,33.43,41.04,28.09,1087
223,6/1/2026,12:42:53,11.98,25.81,18,265
224,6/1/2026,14:57:38,26.54,20.97,29.79,1469
225,6/1/2026,19:03:11,23.75,55.87,23.89,290
226,6/1/2026,21:22:23,29.29,44.65,29.42,1298
227,6/1/2026,22:54:41,34.18,56.38,12.82,1038
228,6/2/2026,1:58:28,12.34,47.2,17.25,71
229,6/2/2026,3:19:17,12.66,16.79,15.66,2238
230,6/2/2026,5:14:42,20.41,54.96,20.9,1847
231,6/2/2026,5:29:53,10.01,26.23,23.13,599
232,6/2/2026,5:50:30,15.23,32.85,12.17,1702
233,6/2/2026,10:34:02,19.35,28.83,14.26,1519
234,6/2/2026,11:27:17,12.06,31.39,13.84,2046
235,6/2/2026,13:26:22,30.04,27.11,22.15,126
236,6/2/2026,14:16:58,10.61,55.32,10.14,418
237,6/2/2026,15:24:35,13.57,49.06,15.23,1709
238,6/2/2026,19:46:48,12.38,77.86,27.21,1266
239,6/2/2026,23:29:26,24.36,64.32,21.53,2113
240,6/3/2026,0:33:51,20.21,29.43,10.73,1488
241,6/3/2026,2:38:44,21.35,39.78,20.44,1338
242,6/3/2026,8:06:05,13.75,62.52,27.8,900
243,6/3/2026,9:09:13,18.49,56.21,26,1146
244,6/3/2026,10:24:16,24.51,74.08,20.75,1672
245,6/3/2026,10:58:43,11.96,75.11,10.55,1464
246,6/3/2026,11:26:20,10.81,17.39,23.05,1214
247,6/3/2026,16:35:34,30.4,63.85,12.09,560
248,6/3/2026,19:45:14,19.99,26.21,28.6,1988
249,6/3/2026,21:26:33,13.04,15.66,29.07,535
250,6/3/2026,23:15:25,15.15,53.81,11.41,1617
251,6/3/2026,23:23:23,27.41,42.7,29.9,692
252,6/4/2026,0:45:51,32.95,60.51,23.82,1156
253,6/4/2026,1:22:48,25.18,6.77,25.57,485
254,6/4/2026,2:19:25,31.1,33.71,19.21,1529
255,6/4/2026,2:33:48,21.92,50.77,18.08,1212
256,6/4/2026,3:32:39,28.48,27.24,16.82,1140
257,6/4/2026,4:52:33,18.22,25.61,24.34,2148
258,6/4/2026,5:50:41,33.44,22.34,14.85,148
259,6/4/2026,7:05:38,18.56,32.73,20.35,562
260,6/4/2026,9:08:19,30.5,24.87,11.56,1345
261,6/4/2026,10:38:13,33.89,7.06,11.37,1081
262,6/4/2026,14:41:46,30.35,70.72,13.48,628
263,6/4/2026,16:25:47,15.33,40.31,24.82,130
264,6/4/2026,18:46:48,22.76,40.11,25.91,1796
265,6/4/2026,19:29:43,33.81,48.6,13.76,2282
266,6/4/2026,21:29:44,16.38,7.71,20,1527
267,6/4/2026,22:05:03,23.06,10.37,24.17,475
268,6/4/2026,23:29:54,12.93,53.49,11.69,261
269,7/1/2026,2:48:44,13.01,33.92,25.86,683
270,7/1/2026,2:52:41,17.02,24.9,20.64,986
271,7/1/2026,3:25:51,18.71,73.16,10.06,477
272,7/1/2026,5:12:24,17.25,39.6,13.26,968
273,7/1/2026,6:43:27,15.1,34.52,29.44,169
274,7/1/2026,9:30:08,29.24,50.35,23.08,1173
275,7/1/2026,9:50:25,15.88,12.44,13.08,1795
276,7/1/2026,11:11:47,26.28,21.05,10.05,175
277,7/1/2026,11:29:42,12.29,29.02,21.07,1374
278,7/1/2026,13:16:27,27.19,66.34,13.51,2064
279,7/1/2026,19:02:09,10.34,59.57,19.61,1300
280,7/1/2026,23:47:49,31.25,19.12,12.14,1408
281,7/2/2026,6:45:33,25.45,31.7,17.79,2189
282,7/2/2026,7:10:30,17.88,41.77,29.25,1162
283,7/2/2026,8:00:46,12.73,61.7,28.68,1668
284,7/2/2026,10:28:03,32.33,15.34,18.95,932
285,7/2/2026,14:13:59,29.67,52.99,15.1,892
286,7/2/2026,15:30:01,11.67,34.79,17.36,70
287,7/2/2026,19:47:50,30.24,5.85,10.01,1612
288,7/2/2026,23:10:44,23.97,22.72,12.2,238
289,7/3/2026,6:19:42,22.45,53.6,28.68,1626
290,7/3/2026,8:59:50,19.78,70.23,15.44,62
291,7/3/2026,14:22:20,29.16,36.47,20.01,375
292,7/3/2026,16:52:08,16.54,40.45,27.6,970
293,7/3/2026,19:53:26,33.29,76.13,12.42,276
294,7/3/2026,23:42:46,24.79,18.67,10.39,491
295,7/4/2026,0:33:15,27.25,55.55,18.11,93
296,7/4/2026,0:45:00,25.51,17.1,16.63,759
297,7/4/2026,9:10:13,34.23,63.1,14.03,1663
298,7/4/2026,10:09:29,16.82,60.46,19.23,231
299,7/4/2026,13:39:06,20.41,48.44,13.83,1075
300,7/4/2026,15:16:14,11.86,75.37,29.27,274
301,7/4/2026,15:16:43,13.3,5.51,27.68,1195
302,7/4/2026,17:02:48,30.04,37.05,11.43,521
303,7/4/2026,18:55:24,14.29,18.44,22.71,2275
304,7/4/2026,19:35:38,33.7,35.59,18.51,2239
305,7/4/2026,19:44:03,23.15,14.7,17.48,1994
306,8/1/2026,0:52:05,25.31,11.35,25.87,255
307,8/1/2026,1:03:25,28.82,48.52,10.61,1235
308,8/1/2026,2:49:56,30.55,26.45,12.18,1437
309,8/1/2026,5:10:15,15.5,82.05,13.58,1432
310,8/1/2026,5:22:26,31.13,83.42,17.76,1525
311,8/1/2026,6:02:02,20.35,57.95,21.52,1027
312,8/1/2026,7:23:23,13.4,8.74,12.35,1451
313,8/1/2026,12:18:09,11.01,19.73,22.36,149
314,8/1/2026,13:03:10,21.01,25.77,25.44,29
315,8/1/2026,13:13:22,10.82,35.97,13.77,2083
316,8/1/2026,14:44:19,20.88,24.49,26.99,255
317,8/1/2026,15:15:55,30.94,35.13,11.94,2240
318,8/1/2026,15:19:43,29.15,21.52,16.83,2166
319,8/1/2026,21:26:27,30.55,9.75,19.18,544
320,8/1/2026,23:01:10,12.51,15.96,29.76,1342
321,8/2/2026,0:57:32,21.09,61.73,28.04,1681
322,8/2/2026,5:20:20,26.68,18.36,16.65,1918
323,8/2/2026,7:16:22,24.35,43.38,12.93,362
324,8/2/2026,8:52:12,18.33,21.91,21.84,2076
325,8/2/2026,13:45:12,16.77,13.65,16.66,2172
326,8/2/2026,15:33:45,15.66,72.29,20.17,173
327,8/3/2026,7:58:56,30.61,24.54,29.01,1508
328,8/3/2026,8:50:32,23.33,36.91,18.59,935
329,8/3/2026,14:19:41,14.49,22.2,11.32,2120
330,8/3/2026,16:15:52,20.75,77.11,27.88,361
331,8/3/2026,16:27:42,20.68,43.59,22.53,1764
332,8/3/2026,17:24:29,11.61,44.42,17.91,14
333,8/4/2026,1:23:07,15.29,80,18.87,778
334,8/4/2026,4:35:47,18.3,27.15,15.8,800
335,8/4/2026,8:10:50,15.25,60.75,18.66,1855
336,8/4/2026,8:55:47,19.61,73.75,21.28,2067
337,8/4/2026,12:17:51,31.88,39.35,26.68,1427
338,8/4/2026,12:21:03,23.04,57.46,23.64,411
339,8/4/2026,15:52:29,26.25,14.79,18.92,1937
340,8/4/2026,16:12:38,33.24,55.28,29.24,1787
341,8/4/2026,16:29:03,27.53,60.35,27.63,335
342,8/4/2026,17:10:45,10.35,26.97,15.88,450
343,9/1/2026,4:04:24,27.15,54.68,18.36,1800
344,9/1/2026,6:41:38,10.36,15.41,15.1,600
345,9/1/2026,6:53:01,33.83,25.23,29.07,1978
346,9/1/2026,7:02:53,21,38.1,15.43,308
347,9/1/2026,8:42:57,32.17,22.65,13.57,1861
348,9/1/2026,14:58:41,26.37,59,21.45,1197
349,9/1/2026,15:17:55,31.86,59.24,13.66,18
350,9/1/2026,16:28:03,11.65,25.98,13.79,1050
351,9/1/2026,18:10:00,18.01,29.32,12.33,956
352,9/1/2026,18:10:10,29.81,29.53,25.91,407
353,9/2/2026,4:32:23,16.4,53.76,10.63,1744
354,9/2/2026,5:58:55,30.85,23.32,29.85,1775
355,9/2/2026,8:06:15,13.76,71.84,20.11,2134
356,9/2/2026,8:31:05,15.31,41.05,11.05,611
357,9/2/2026,9:27:57,34.99,26.76,26.66,1923
358,9/2/2026,14:31:52,13.72,62.26,17.5,1889
359,9/2/2026,15:02:31,34.81,26.28,14.22,2238
360,9/2/2026,17:14:08,33.34,5.69,28.3,2054
361,9/2/2026,19:23:03,10.29,14.1,16.63,2028
362,9/2/2026,19:35:36,23.1,19.29,15.09,1010
363,9/3/2026,1:07:43,20.33,35.57,15.04,1876
364,9/3/2026,1:12:18,18.25,24.61,10.64,982
365,9/3/2026,5:50:35,21.12,6.6,17.42,2074
366,9/3/2026,7:53:02,17.44,26.9,14.63,1864
367,9/3/2026,9:59:38,26.03,80.71,18.56,2095
368,9/3/2026,11:17:45,23.5,67.72,24.46,1456
369,9/3/2026,12:35:06,14.46,19.69,21.51,1095
370,9/3/2026,14:34:46,15.9,74.32,27.36,1468
371,9/3/2026,19:20:02,16.35,74.29,10.52,255
372,9/3/2026,23:20:41,28.55,81.76,21.94,1658
373,9/4/2026,3:33:52,34.76,50.27,23.9,735
374,9/4/2026,4:04:00,27.52,54.65,29.49,1988
375,9/4/2026,6:08:07,28.81,22.99,23.99,1797
376,9/4/2026,9:26:12,24.28,42.84,23.6,58
377,9/4/2026,9:51:05,22.83,44.44,20.82,751
378,9/4/2026,10:03:32,29.6,69.44,28.15,1583
379,9/4/2026,10:30:59,24.62,47.74,16.57,511
380,9/4/2026,11:30:12,17.23,44.62,28.81,1285
381,9/4/2026,15:47:57,31.56,74.48,14.17,1271
382,9/4/2026,19:14:52,25.38,53.85,24.37,114
383,9/4/2026,19:28:54,19.21,24.23,23.46,700
384,9/4/2026,19:58:41,22.59,8.18,23.57,1559
385,10/1/2026,1:37:35,19.1,20.66,11.9,1766
386,10/1/2026,4:36:44,18.1,84.82,27.09,1175
387,10/1/2026,8:13:04,30.19,12.85,14.34,990
388,10/1/2026,14:44:28,13.42,60.85,16.51,602
389,10/2/2026,2:30:17,26.31,84.08,14.63,221
390,10/2/2026,4:28:34,22.57,37.6,15.2,1207
391,10/2/2026,5:02:34,10.32,7.33,20.15,748
392,10/2/2026,10:40:14,18.81,74.95,20.9,1229
393,10/2/2026,12:50:13,10.76,29.25,12.08,672
394,10/2/2026,14:57:21,15.3,9.92,14.75,1270
395,10/2/2026,18:38:02,19.2,68.47,23.21,261
396,10/2/2026,20:16:19,17.23,21.7,21.91,1426
397,10/3/2026,1:54:39,16.2,17.66,21.55,1826
398,10/3/2026,11:37:29,13.78,55.02,26.19,1699
399,10/3/2026,11:54:24,18.82,19.63,29.02,406
400,10/3/2026,12:23:09,25.05,30.43,14.42,386
401,10/3/2026,13:11:16,18.66,37.58,26.76,1388
402,10/3/2026,13:43:44,17.83,23.33,19.82,1109
403,10/3/2026,16:42:31,26.98,74.02,18.89,1345
404,11/1/2026,0:13:59,29.84,22.41,24.5,1459
405,11/1/2026,0:57:15,22.29,45.59,22.24,377
406,11/1/2026,6:25:24,31.24,75.94,11.79,736
407,11/1/2026,7:25:03,26.69,33.26,27.91,218
408,11/1/2026,10:18:12,24.61,17.44,18.69,712
409,11/1/2026,10:40:23,23.11,43.93,14.73,1798
410,11/1/2026,10:57:28,15.48,37.15,28.52,1289
411,11/1/2026,11:13:43,18.56,71.76,12.35,156
412,11/1/2026,12:15:25,31.63,39.62,12.57,1709
413,11/1/2026,19:02:26,17.49,45.46,25.02,861
414,11/1/2026,19:09:00,13.02,24.54,17.23,2168
415,11/1/2026,19:11:12,22.55,66.7,16.06,1584
416,11/1/2026,19:30:00,34.76,12.67,25.78,1252
417,11/1/2026,19:35:25,28.89,80.95,19.18,1898
418,11/1/2026,23:02:53,34.08,50.11,13.77,1692
419,11/1/2026,23:18:50,31.75,71.68,14.79,66
420,11/2/2026,3:51:58,24,43.81,11.78,476
421,11/2/2026,4:48:15,24.72,5.61,22.63,894
422,11/2/2026,10:29:07,10.57,23.36,24.98,996
423,11/2/2026,11:00:02,10.59,67.88,24.24,1067
424,11/2/2026,11:17:23,16.62,70.97,12.65,1584
425,11/2/2026,18:12:37,32.78,27.1,10.66,1302
426,11/2/2026,22:44:58,25.78,13.64,25.82,1056
427,11/2/2026,22:51:31,21.35,7.9,27.16,187
428,11/2/2026,23:19:44,20.19,50.2,28.63,772
429,11/2/2026,23:41:49,12.52,48.4,10.39,1333
430,11/3/2026,2:27:24,25.6,81.51,29.81,1327
431,11/3/2026,4:15:46,10.2,72,27.8,1501
432,11/3/2026,4:35:09,17.21,69.26,24.49,1793
433,11/3/2026,5:11:39,16.83,20.69,23.12,1982
434,11/3/2026,7:56:53,30.37,5.24,25.84,388
435,11/3/2026,13:25:24,32.51,66.01,28.2,1557
436,11/3/2026,13:50:04,33.24,33.66,22.05,1254
437,11/3/2026,14:54:44,10.27,64.63,19.24,1330
438,11/3/2026,15:07:20,29.08,29.61,17.18,1365
439,11/3/2026,15:27:14,19.11,83.82,26.93,1336
440,11/3/2026,15:34:23,10.3,56.86,13.71,1531
441,11/3/2026,21:57:45,13.35,74.46,12.47,1994
442,12/1/2026,1:17:12,11.75,60.54,24.65,790
443,12/1/2026,3:34:51,21.37,24.22,17.92,215
444,12/1/2026,4:44:30,24.42,12.63,29.09,193
445,12/1/2026,5:35:11,31.56,81.14,21.25,2161
446,12/1/2026,7:37:20,16.66,8.33,29.91,2158
447,12/1/2026,16:02:35,26.32,57.95,26.51,805
448,12/1/2026,17:11:51,22.29,47.82,21.39,876
449,12/1/2026,18:34:22,10.72,48.15,17.92,1331
450,12/1/2026,18:55:11,27.82,83.43,15.95,736
451,12/1/2026,19:41:50,34.79,83.31,18.51,562
452,12/2/2026,3:10:37,14.62,26.51,26.05,1544
453,12/2/2026,4:59:30,32.64,32.39,13.27,1522
454,12/2/2026,8:06:23,24.77,56.43,28.67,1426
455,12/2/2026,8:10:51,20.27,37.85,15.06,2135
456,12/2/2026,13:49:09,27.15,69.69,11.36,1943
457,12/2/2026,14:28:53,21.68,81.46,29.53,2236
458,12/2/2026,17:53:58,21.63,12.37,17.58,717
459,12/2/2026,18:52:23,22.04,78.91,15.75,780
460,12/2/2026,19:46:37,31.88,12.98,26.48,2173
461,12/2/2026,19:59:55,13.78,20.23,17.75,351
462,12/2/2026,22:43:49,15.27,30.95,17.55,822
463,12/3/2026,0:20:12,27.4,36.81,19.97,1245
464,12/3/2026,0:58:42,34.45,13.53,14.41,1696
465,12/3/2026,8:57:22,30.61,49.44,22.18,722
466,12/3/2026,13:00:29,14.21,23.91,14.01,758
467,12/3/2026,14:58:06,34.85,34.78,20.82,1177
468,12/3/2026,15:08:29,24.31,29.85,17.88,1455
469,13-01-2026,0:01:02,12.35,45.02,14.12,917
470,13-01-2026,1:23:43,33,83.22,14.55,931
471,13-01-2026,4:07:39,14.95,21.2,16.45,1784
472,13-01-2026,5:06:48,23.39,12.91,17.77,1924
