date,time,temp,hum,soil_moisture,par
2026-03-25,20:02:32,9.49,17.42,0.43,917
2026-01-16,8:49:42,32.01,11.24,3.0,1757
2026-01-31,0:05:58,43.17,68.47,19.05,299
2026-03-02,19:34:08,21.13,52.35,29.78,695
2026-01-04,11:45:10,26.82,32.33,12.4,1650
2026-03-19,13:31:32,14.24,3.87,0.81,2136
2026-02-18,1:56:27,11.32,0.66,15.32,261
2026-02-21,19:45:37,28.13,97.48,19.16,2087
2026-01-13,20:01:41,23.34,65.04,13.59,1633
2026-04-03,8:51:14,3.02,50.43,0.19,1201
2026-01-13,6:04:51,25.17,87.74,24.57,2377
2026-03-14,10:33:38,8.9,14.43,10.39,1213
2026-03-08,1:13:26,39.31,40.35,15.78,2134
2026-01-19,7:55:07,6.27,0.9,15.64,366
2026-04-09,19:59:17,25.09,58.98,7.63,2252
2026-01-02,19:52:59,35.95,83.29,18.82,432
2026-03-02,17:38:39,4.32,10.63,15.1,311
2026-02-05,1:43:56,2.99,72.18,15.92,315
2026-03-04,22:14:59,35.85,25.73,14.92,1062
2026-02-05,7:19:47,41.04,31.83,4.47,1213
2026-04-02,18:39:11,13.0,18.9,0.03,1892
2026-03-25,16:25:27,2.59,12.93,4.95,559
2026-02-15,22:34:18,43.73,32.6,20.54,348
2026-03-10,18:01:10,13.81,94.9,10.77,1384
2026-03-15,18:10:22,36.28,33.73,21.08,1774
2026-03-26,23:08:37,16.74,39.57,3.44,498
2026-02-19,16:37:49,34.35,32.38,15.38,2495
2026-02-07,0:49:14,35.22,58.8,4.87,1967
2026-02-14,2:54:05,29.27,19.16,25.06,1085
2026-02-25,10:57:24,27.4,77.8,3.29,1141
2026-03-02,5:19:06,23.35,90.5,25.5,1465
2026-03-04,15:53:51,23.98,92.06,13.39,395
2026-03-09,16:53:33,2.67,47.29,0.09,1663
2026-03-26,14:23:34,43.96,77.81,25.77,299
2026-03-17,8:43:57,32.17,50.43,10.71,1597
2026-01-17,7:30:51,2.89,93.09,7.11,1178
2026-03-11,16:01:23,12.78,77.93,13.67,1352
2026-04-07,12:09:46,18.37,13.2,7.47,2436
2026-02-09,0:13:11,4.94,27.3,15.09,2343
2026-01-01,9:55:13,28.24,61.29,15.54,874
2026-03-24,22:50:12,23.46,93.9,6.88,1627
2026-03-17,1:54:15,17.96,98.69,1.99,935
2026-03-13,2:50:14,4.68,92.77,0.27,123
2026-03-17,9:04:17,10.99,58.89,6.65,787
2026-02-24,0:05:49,41.85,5.05,23.47,905
2026-03-15,21:54:46,25.05,19.84,25.82,694
2026-03-06,21:31:15,2.33,32.08,7.97,413
2026-03-12,12:46:03,29.83,52.1,0.71,232
2026-02-12,17:59:48,31.88,22.46,10.88,1406
2026-01-20,18:23:22,42.7,15.26,26.58,2443
2026-01-23,4:22:50,36.76,31.12,16.17,252
2026-04-08,5:36:29,42.12,75.03,28.51,1270
2026-04-06,14:59:40,25.95,17.35,28.09,335
2026-04-07,9:17:32,16.13,47.0,15.24,526
2026-04-02,13:05:27,26.2,27.68,25.01,1938
2026-01-10,17:09:05,31.23,92.97,14.86,1381
2026-01-27,1:12:00,1.0,84.79,26.08,2227
2026-02-25,1:26:13,5.63,7.01,27.63,2393
2026-02-14,4:23:46,8.5,46.02,0.81,2063
2026-03-09,5:42:08,28.96,40.82,6.01,770
2026-03-20,13:39:34,18.79,23.69,21.19,1224
2026-04-01,18:07:31,0.73,85.08,15.02,1683
2026-02-14,11:42:39,9.56,48.14,6.44,1746
2026-01-07,4:37:57,0.52,69.5,23.84,1298
2026-04-02,21:15:58,1.59,50.14,8.15,1060
2026-02-14,20:55:12,6.45,61.56,21.52,509
2026-03-06,3:11:45,6.35,62.31,16.05,842
2026-03-26,9:56:33,20.35,75.56,20.26,2156
2026-01-02,23:06:36,30.33,50.9,13.54,837
2026-02-15,21:54:43,15.79,3.9,3.61,702
2026-03-23,14:39:03,2.07,69.74,7.6,1813
2026-04-06,18:46:49,5.71,15.26,8.4,718
2026-02-27,23:24:09,22.93,4.42,21.74,1413
2026-02-22,9:13:39,44.96,62.64,25.68,1317
2026-02-05,9:37:59,6.83,68.99,16.7,2068
2026-04-09,15:11:51,9.89,32.97,23.66,2167
2026-02-28,17:47:30,18.31,68.42,2.89,2202
2026-03-24,8:38:40,23.46,33.29,7.14,2466
2026-01-22,14:44:18,33.0,28.89,20.67,1934
2026-03-19,13:04:14,26.13,25.37,3.77,669
2026-02-22,5:27:15,41.1,10.73,18.18,1200
2026-02-15,5:56:20,10.7,85.82,9.0,311
2026-02-21,1:12:58,37.13,61.24,8.29,2215
2026-01-14,17:54:03,18.28,42.83,26.39,395
2026-02-18,10:35:37,41.07,7.39,7.48,215
2026-01-21,19:07:36,29.36,35.75,11.91,1356
2026-02-28,17:31:40,6.47,10.51,14.44,883
2026-02-27,14:12:34,38.79,5.49,28.82,953
2026-01-15,14:50:50,14.05,33.8,29.27,1051
2026-03-11,0:26:23,13.17,4.16,11.54,1780
2026-03-03,12:37:21,33.35,45.76,6.43,945
2026-02-06,18:47:23,28.0,6.57,14.37,1754
2026-03-01,14:38:43,29.43,66.15,12.42,1778
2026-03-11,1:02:34,36.28,24.68,2.55,2053
2026-02-25,16:54:41,7.13,65.65,19.62,535
2026-02-06,22:55:58,5.37,62.5,8.65,2465
2026-02-04,2:17:10,36.28,3.77,24.47,493
2026-03-13,9:29:00,30.3,27.93,11.85,1094
2026-01-29,6:57:27,5.53,54.12,28.7,1492
2026-03-10,12:40:30,16.66,79.74,27.46,1547
2026-04-07,14:34:40,30.02,63.93,24.06,2313
2026-02-06,23:25:43,12.68,78.26,10.88,1123
2026-03-01,5:44:51,30.97,21.95,6.7,2423
2026-02-10,9:25:25,28.69,89.97,10.58,326
2026-01-02,9:45:30,30.54,81.11,15.59,1360
2026-02-22,5:50:27,5.22,77.12,3.39,1398
2026-03-22,12:00:04,10.01,24.32,26.24,1659
2026-03-23,19:07:26,44.02,46.39,23.72,1902
2026-02-08,9:34:40,31.75,51.2,10.43,1235
2026-02-21,16:39:20,44.37,74.9,3.77,1281
2026-03-03,20:24:52,33.23,43.0,22.8,1523
2026-01-13,1:04:29,16.18,83.99,25.74,676
2026-01-10,8:59:55,4.35,98.2,28.86,1709
2026-01-16,20:38:08,35.24,74.6,16.69,563
2026-01-09,11:51:26,42.75,99.9,28.36,1652
2026-03-22,20:48:02,4.01,14.61,2.99,1478
2026-03-25,16:41:34,40.17,11.93,3.96,2043
2026-03-10,6:01:05,20.12,40.08,28.63,390
2026-03-22,18:16:51,15.7,36.98,9.96,1624
2026-03-12,6:42:02,37.85,89.39,8.9,1665
2026-02-05,13:32:42,18.32,62.05,11.59,251
2026-03-19,0:55:37,33.33,57.92,13.04,925
2026-02-04,8:24:55,30.84,29.62,27.46,154
2026-03-08,16:50:55,28.0,47.89,25.87,1957
2026-01-29,11:39:37,41.07,17.8,20.67,1741
2026-01-24,23:24:53,3.99,70.51,8.97,1799
2026-04-08,10:32:21,30.58,85.56,9.4,1072
2026-03-01,8:04:22,34.34,39.33,17.44,1560
2026-02-14,18:10:39,9.7,52.36,0.13,548
2026-01-21,8:19:05,44.2,53.63,4.49,1130
2026-02-23,15:24:17,21.7,20.91,23.67,1553
2026-02-10,16:13:59,1.98,69.54,8.47,2257
2026-03-03,17:35:25,45.0,14.9,11.75,142
2026-03-19,1:25:48,35.88,45.56,20.55,893
2026-03-18,5:15:02,39.18,88.96,25.37,2299
2026-04-03,21:53:30,6.52,87.15,14.33,614
2026-02-23,22:56:07,3.16,98.41,10.75,512
2026-04-07,4:17:39,3.08,66.88,12.41,882
2026-03-21,9:02:53,7.41,32.14,16.76,1960
2026-02-17,20:45:38,8.81,14.52,10.2,216
2026-03-16,2:59:19,18.36,27.2,2.88,1363
2026-02-23,6:26:29,42.74,22.41,6.06,1325
2026-02-02,4:59:08,17.05,36.12,24.13,548
2026-02-12,13:23:52,19.81,17.1,20.0,145
2026-02-14,20:50:32,36.09,5.49,24.44,794
2026-02-11,17:11:10,11.35,40.37,7.93,2323
2026-01-08,6:47:42,42.45,99.19,8.01,2215
2026-03-20,1:07:59,17.14,62.26,4.5,2176
2026-03-26,10:26:37,17.38,11.9,29.61,762
2026-02-08,14:33:03,38.43,90.71,29.1,622
2026-01-10,15:11:51,29.04,86.29,25.52,2380
2026-03-31,15:45:18,35.23,84.64,6.65,1800
2026-01-02,22:47:05,19.17,32.75,8.9,624
2026-01-28,8:08:20,7.87,27.31,19.18,1479
2026-01-24,21:31:29,14.75,14.48,23.13,1300
2026-04-04,15:19:31,39.92,78.97,11.38,998
2026-01-02,8:54:18,5.34,37.35,29.05,1604
2026-03-20,21:35:16,32.72,19.38,10.09,2146
2026-04-06,3:56:39,5.42,25.9,24.26,139
2026-03-06,17:24:03,43.76,61.41,13.18,576
2026-02-11,3:56:39,0.82,97.63,4.4,2261
2026-02-20,6:50:21,29.8,62.26,27.1,136
2026-04-03,11:07:56,41.35,88.22,9.49,2347
2026-04-02,4:25:58,27.0,41.87,21.77,1311
2026-03-23,20:30:13,36.61,65.78,16.55,2156
2026-01-03,13:41:35,8.07,1.66,1.59,994
2026-02-17,21:03:28,38.25,68.71,1.5,2067
2026-02-08,23:04:52,40.51,0.42,17.68,1398
2026-03-06,4:27:42,6.75,27.71,10.33,392
2026-02-28,16:23:27,40.28,26.37,14.17,1608
2026-01-16,18:49:42,37.96,40.39,25.13,661
2026-02-20,16:33:41,30.54,36.35,19.89,374
2026-02-22,7:03:25,15.6,8.57,3.89,865
2026-03-12,14:57:51,38.06,30.1,17.28,1222
2026-03-27,20:16:09,0.13,99.29,17.33,929
2026-02-10,10:53:23,43.19,28.97,25.99,1449
2026-02-28,21:14:10,33.04,6.61,29.26,304
2026-02-16,7:48:11,21.08,5.47,17.85,793
2026-01-23,7:27:46,7.0,38.9,9.63,1555
2026-01-13,14:55:55,4.37,26.61,11.45,230
2026-01-07,9:53:18,5.36,76.09,29.22,683
2026-02-14,7:06:10,43.18,51.88,14.49,2326
2026-03-26,5:41:08,10.77,52.05,0.55,2175
2026-01-09,19:44:56,40.95,59.41,2.53,395
2026-01-26,16:28:23,30.35,47.68,13.23,1169
2026-02-28,21:00:20,29.22,69.49,14.35,795
2026-01-27,17:24:59,20.27,86.5,28.48,611
2026-02-06,19:24:59,39.18,54.24,12.67,926
2026-01-17,23:13:52,43.68,10.43,7.57,1906
2026-03-23,10:27:58,44.67,18.25,10.68,373
2026-01-18,5:29:31,0.88,97.35,3.11,802
2026-02-26,22:13:36,25.53,22.9,24.82,736
2026-01-24,12:05:16,39.53,87.91,21.99,491
2026-02-11,22:45:41,43.36,31.65,24.1,1538
2026-01-28,12:53:42,20.25,84.82,21.26,937
2026-01-26,15:04:45,44.43,78.75,28.64,519
2026-01-03,9:15:07,0.45,86.44,20.55,857
2026-04-09,14:03:07,17.16,91.15,6.02,333
2026-01-10,1:54:49,40.37,67.43,14.68,2227
2026-04-08,8:48:21,43.27,93.43,11.96,1561
2026-04-06,17:12:50,14.82,36.02,3.51,179
2026-01-01,19:02:42,32.83,37.63,13.56,2295
2026-04-06,6:04:41,1.89,83.19,12.24,1876
2026-03-20,1:56:40,28.47,4.71,14.02,189
2026-03-17,15:23:24,11.64,65.35,5.39,1243
2026-03-30,13:57:34,34.43,38.15,20.56,202
2026-02-03,2:24:07,25.01,61.77,27.95,1915
2026-01-21,2:32:10,22.18,30.88,16.8,2493
2026-01-19,1:01:21,33.39,66.24,27.47,1812
2026-03-17,3:58:09,8.82,35.54,4.37,1722
2026-02-13,0:57:13,39.25,44.14,2.68,175
2026-02-22,22:43:05,32.74,36.17,12.64,1357
2026-02-09,18:15:24,15.56,53.32,28.51,1963
2026-02-17,10:29:37,32.67,72.88,21.77,1601
2026-02-15,8:04:08,31.29,74.24,5.5,546
2026-01-18,1:29:25,7.77,46.89,22.58,626
2026-04-01,17:59:36,26.57,18.3,22.1,485
2026-02-07,4:16:43,33.03,57.88,7.55,2043
2026-03-13,21:07:04,19.33,66.34,19.97,1543
2026-02-07,5:08:08,15.29,27.74,25.1,1645
2026-02-21,2:08:23,26.75,33.84,11.79,603
2026-01-19,0:54:23,5.2,7.41,26.45,1390
2026-03-03,18:50:15,10.14,38.3,8.63,1705
2026-02-11,15:40:34,11.92,62.64,3.5,693
2026-03-24,18:39:23,12.2,96.18,12.97,492
2026-04-07,7:07:26,20.24,39.92,18.1,1872
2026-01-18,8:52:12,32.5,4.0,14.13,377
2026-04-01,2:00:47,21.01,95.69,8.96,2441
2026-03-10,4:45:45,3.17,66.99,5.9,1975
2026-02-20,21:03:17,33.66,83.03,13.19,902
2026-01-20,23:55:17,44.09,13.87,16.66,243
2026-02-26,1:39:32,26.82,45.13,7.68,2457
2026-03-05,6:41:32,27.09,45.42,4.99,1409
2026-03-26,11:15:39,39.72,62.84,27.68,725
2026-01-05,3:07:35,44.03,86.84,25.23,2408
2026-04-01,23:01:31,3.19,54.46,29.58,2469
2026-04-02,20:54:08,35.5,95.2,29.14,2038
2026-01-18,20:36:20,2.86,86.67,17.22,312
2026-01-03,1:22:54,17.14,72.92,21.42,153
2026-03-19,8:10:48,30.38,84.65,19.79,615
2026-02-21,10:07:52,16.52,89.41,1.39,2433
2026-04-02,17:48:06,16.49,18.73,23.66,2301
2026-01-10,16:58:33,37.78,12.55,12.72,327
2026-03-17,0:39:14,8.39,97.59,0.76,1845
2026-01-04,13:27:45,0.86,64.03,20.87,1091
2026-03-02,22:16:54,1.45,45.28,22.3,812
2026-04-04,6:31:40,40.08,27.59,25.08,508
2026-01-27,17:18:39,42.09,5.92,23.18,728
2026-03-04,21:29:55,36.56,12.44,18.25,806
2026-03-21,11:22:48,27.1,64.72,16.38,1969
2026-03-20,6:29:42,24.74,44.75,11.6,1430
2026-03-28,20:27:18,29.19,2.57,16.36,2423
2026-03-14,6:58:53,11.65,65.65,27.64,1007
2026-01-01,7:34:15,36.24,85.39,26.54,1125
2026-02-03,18:03:54,25.42,76.75,28.98,2184
2026-02-02,0:42:43,22.74,38.89,23.82,197
2026-01-31,11:31:38,30.94,36.6,10.38,1605
2026-03-26,5:12:00,8.7,36.93,23.14,627
2026-02-22,16:34:04,13.17,87.82,22.24,1559
2026-03-26,13:07:31,2.5,76.38,20.59,1025
2026-03-19,15:42:17,29.58,52.82,6.82,513
2026-02-24,18:11:37,23.71,77.25,26.12,2264
2026-03-03,2:47:08,39.1,34.77,15.37,133
2026-02-14,18:21:14,44.87,14.37,0.7,1889
2026-03-17,12:48:36,20.45,93.44,14.39,1712
2026-03-18,8:50:36,34.22,34.01,23.24,922
2026-01-14,11:17:03,8.27,23.8,26.76,1854
2026-01-07,12:30:16,24.82,55.26,17.98,1867
2026-02-17,16:45:14,2.7,69.54,25.12,2107
2026-02-06,14:45:55,21.36,55.94,5.51,1051
2026-03-22,20:55:46,5.11,13.2,6.58,817
2026-02-21,6:14:23,24.11,96.69,24.38,1288
2026-01-16,15:11:32,40.59,51.42,26.08,594
2026-03-26,4:06:40,28.51,37.03,25.84,1266
2026-01-20,9:22:24,14.88,24.88,13.46,2343
2026-04-02,17:08:54,8.57,10.38,7.12,2071
2026-01-24,23:20:37,13.42,20.03,5.48,658
2026-02-21,1:00:05,41.91,3.17,12.7,788
2026-02-09,23:29:56,14.02,21.36,1.39,2299
2026-03-03,8:30:14,37.28,5.03,8.57,1910
2026-01-07,3:33:10,35.44,1.99,23.09,917
2026-03-24,21:12:27,38.83,18.47,20.2,549
2026-01-09,6:39:12,37.75,59.15,5.19,212
2026-02-15,12:54:25,16.76,16.6,15.67,1311
2026-04-02,7:54:26,3.74,5.77,23.25,266
2026-01-16,8:27:43,42.52,66.27,21.62,1823
2026-02-06,15:09:49,6.86,98.11,24.04,1123
2026-02-02,17:52:19,33.06,9.88,28.95,1235
2026-03-24,23:43:38,23.57,18.51,4.75,999
2026-01-14,18:49:44,28.73,1.17,10.23,1585
2026-01-27,19:12:41,0.62,90.37,12.29,122
2026-04-07,10:07:58,16.85,68.64,18.86,145
2026-01-08,8:22:03,16.4,18.83,12.9,848
2026-03-18,18:28:00,5.83,14.19,8.04,796
2026-03-03,6:24:05,12.73,47.84,1.27,1209
2026-02-14,18:38:50,19.99,67.21,14.42,843
2026-02-09,9:59:38,36.98,81.73,1.68,1479
2026-02-25,4:01:26,5.35,15.93,17.85,1694
2026-01-15,11:44:16,22.54,96.3,18.99,1028
2026-03-28,14:54:30,25.4,34.97,29.61,2196
2026-04-02,14:41:58,3.44,39.51,9.15,252
2026-02-28,18:08:37,24.93,16.87,0.24,1917
2026-02-13,12:07:18,6.85,11.35,28.61,1923
2026-01-11,10:44:45,42.93,3.89,5.18,2253
2026-04-05,3:42:35,33.72,38.22,8.57,2123
2026-03-25,11:00:11,30.62,92.37,21.77,635
2026-03-16,15:05:28,14.12,71.84,0.43,1457
2026-01-07,16:07:07,36.57,74.67,26.77,956
2026-02-26,9:39:00,15.29,88.78,10.19,1475
2026-02-26,21:05:14,18.43,75.8,14.76,379
2026-04-02,9:51:13,41.68,42.73,4.47,742
2026-02-11,13:30:25,29.85,79.14,25.24,1064
2026-01-02,22:46:29,12.65,20.87,6.22,801
2026-04-04,7:43:54,8.82,98.6,2.18,918
2026-02-17,19:28:48,3.51,88.41,1.26,995
2026-01-10,15:50:21,0.55,97.21,11.22,2268
2026-02-19,22:19:52,5.21,51.07,1.37,1307
2026-03-23,6:42:29,23.55,26.86,5.62,1064
2026-03-01,16:57:51,11.3,94.08,6.81,2252
2026-01-06,12:28:30,25.25,25.88,10.0,966
2026-02-18,3:03:09,30.95,76.68,1.53,646
2026-03-04,7:13:51,35.06,60.11,26.18,2193
2026-02-17,8:08:12,8.02,44.92,14.25,2238
2026-03-14,1:25:17,16.57,61.6,14.22,882
2026-04-05,6:04:31,14.08,11.81,19.94,1490
2026-03-20,3:18:49,13.92,48.3,29.27,1660
2026-02-06,15:15:02,3.21,56.88,23.24,710
2026-03-22,12:31:21,7.26,77.9,11.7,489
2026-01-22,19:29:45,7.41,7.39,22.48,1629
2026-03-05,18:15:20,22.56,85.86,3.63,1731
2026-04-02,9:36:45,16.65,6.56,12.26,2215
2026-02-11,11:47:26,14.14,51.11,11.75,1536
2026-01-23,2:21:19,18.58,16.07,12.24,961
2026-02-10,1:05:51,11.32,62.23,11.19,346
2026-04-07,7:42:47,36.6,57.98,7.49,2449
2026-02-19,4:23:36,18.5,49.72,25.92,778
2026-04-03,13:29:30,19.79,71.18,26.46,163
2026-03-16,8:02:38,40.28,85.98,23.36,1870
2026-04-06,8:16:08,44.65,63.2,29.33,1091
2026-04-05,14:14:17,26.03,84.4,8.38,2219
2026-04-04,6:35:09,18.69,9.52,1.0,1896
2026-03-23,6:12:36,36.06,71.24,6.77,1275
2026-02-26,11:39:42,10.95,93.66,11.15,423
2026-01-20,0:56:59,4.26,20.34,20.02,2292
2026-01-18,6:24:59,22.58,33.38,6.06,747
2026-01-14,12:46:51,15.08,53.34,12.99,1575
2026-01-05,17:00:38,32.74,48.69,16.84,179
2026-03-19,4:14:52,10.19,48.47,27.84,1166
2026-04-04,8:16:18,38.87,53.07,26.39,1944
2026-01-20,23:25:01,21.28,10.51,3.58,413
2026-03-08,5:59:21,34.86,19.14,18.05,839
2026-03-21,4:58:21,0.63,57.34,5.82,1478
2026-01-17,23:25:26,22.0,66.12,28.34,1528
2026-04-02,20:28:12,44.57,6.89,18.64,1702
2026-01-25,20:00:26,9.61,28.61,3.65,177
2026-04-06,11:20:55,11.11,58.05,4.23,1471
2026-03-29,13:51:58,17.42,78.75,4.01,845
2026-01-20,18:20:56,34.63,76.51,27.38,1172
2026-03-25,22:28:47,34.32,83.6,3.55,379
2026-03-12,19:42:27,2.38,9.94,13.67,1895
2026-01-17,20:37:17,22.99,3.83,7.88,2299
2026-02-14,10:07:26,21.96,81.76,21.56,1842
2026-03-08,5:14:47,5.39,25.67,23.62,1209
2026-03-08,11:59:46,15.19,95.93,2.64,1530
2026-03-31,3:53:10,29.84,63.33,18.28,1494
2026-03-31,7:59:06,33.39,22.29,10.9,552
2026-03-09,2:37:58,3.34,24.12,6.64,2155
2026-02-25,20:52:14,17.11,35.73,12.74,1237
2026-01-03,2:25:20,7.84,91.45,26.13,1208
2026-03-25,15:02:10,40.78,9.62,15.4,322
2026-04-09,2:24:11,21.71,11.55,28.19,2047
2026-02-01,16:06:57,34.53,21.79,3.98,453
2026-03-24,15:21:40,36.92,69.27,27.49,731
2026-01-03,21:02:16,13.39,18.83,19.93,800
2026-02-27,21:21:25,38.3,29.51,11.91,790
2026-01-06,1:11:27,37.33,56.37,22.86,255
2026-03-07,14:54:13,33.09,85.17,1.71,2261
2026-02-13,12:31:48,36.05,86.18,26.87,424
2026-03-27,19:11:04,9.71,42.31,8.56,1021
2026-03-29,19:50:29,31.29,38.86,28.74,1374
2026-02-16,20:27:41,15.47,40.64,12.51,1413
2026-04-08,1:09:43,2.73,1.9,9.29,1231
2026-03-03,21:24:52,3.46,60.35,26.15,894
2026-01-31,21:41:06,6.65,20.1,16.66,537
2026-01-23,20:59:22,24.85,34.45,17.12,1600
2026-02-01,19:44:44,29.88,36.5,2.97,1206
2026-01-12,9:37:37,19.38,27.94,7.75,1006
2026-04-07,17:56:31,43.0,88.94,25.78,2070
2026-03-06,5:33:39,19.29,42.45,28.79,497
2026-01-31,12:31:39,15.67,23.6,28.22,2392
2026-02-15,14:00:52,29.68,3.18,1.3,102
2026-03-29,3:29:39,34.05,21.21,17.3,1643
2026-02-09,21:10:24,33.32,35.72,12.44,312
2026-01-18,7:20:22,33.78,35.44,16.82,1944
2026-02-15,3:16:28,18.61,10.68,2.7,856
2026-02-20,2:28:21,15.47,45.11,22.85,1759
2026-01-14,5:18:51,36.77,38.09,0.42,2465
2026-01-29,11:09:27,43.96,98.69,17.11,2012
2026-01-24,6:08:41,8.71,49.25,2.94,1479
2026-03-07,18:21:48,43.53,78.96,10.45,2318
2026-01-07,15:30:25,11.06,56.72,18.22,2303
2026-04-05,13:40:04,8.53,35.76,23.89,1693
2026-02-14,22:32:44,27.36,73.1,13.33,1630
2026-01-26,14:29:20,4.57,22.52,1.1,2224
2026-02-01,1:05:24,44.82,41.58,20.24,1714
2026-03-14,19:45:22,11.91,73.19,2.52,1378
2026-02-26,22:15:27,4.93,28.37,14.06,865
2026-04-09,2:06:27,5.6,34.35,0.48,2399
2026-01-19,21:15:06,5.28,64.26,5.25,1762
2026-02-20,22:22:19,44.9,11.2,27.36,754
2026-03-22,23:53:07,8.31,31.8,6.44,1290
2026-01-01,6:39:14,36.94,68.05,28.1,512
2026-01-09,1:15:52,11.21,57.64,28.44,1726
2026-03-20,16:12:20,22.79,37.67,18.98,1160
2026-04-07,5:24:15,21.91,36.83,8.4,265
2026-02-16,19:45:52,41.37,28.94,27.3,2352
2026-02-02,19:15:07,43.38,78.46,19.75,1293
2026-03-01,6:28:16,8.87,45.32,27.3,1891
2026-03-25,21:56:35,33.93,81.35,29.29,1220
2026-02-17,13:41:34,30.05,79.11,1.14,2313
2026-04-02,9:11:56,4.59,93.1,3.64,1838
2026-01-16,16:45:43,15.41,68.99,2.38,926
2026-02-28,14:44:47,1.28,16.15,6.13,1446
2026-02-12,13:23:54,12.86,33.43,11.47,1530
2026-01-08,17:19:35,6.24,80.81,4.86,941
2026-02-17,2:20:56,1.64,28.71,15.15,1208
2026-02-19,9:08:37,42.2,97.85,21.97,893
2026-02-12,5:47:24,32.85,0.31,15.59,1172
2026-01-19,14:05:55,8.19,87.43,5.16,531
2026-03-09,1:32:20,32.81,15.03,29.37,1769
2026-02-07,22:00:22,11.16,86.56,19.92,1157
2026-03-27,10:04:22,14.38,30.77,13.66,1361
2026-03-13,7:16:35,17.98,18.0,4.16,504
2026-03-14,8:57:50,32.68,28.03,18.5,137
2026-03-14,21:43:29,40.99,60.77,16.74,2012
2026-01-26,7:44:22,37.31,7.68,2.94,2324
2026-03-13,22:11:26,26.7,94.64,26.59,2066
2026-01-10,22:27:20,26.3,23.86,2.15,105
2026-03-25,13:22:27,28.42,36.62,21.97,176
2026-03-16,23:01:35,10.38,53.78,9.44,1303
2026-01-14,7:59:39,36.48,91.75,29.85,236
2026-02-02,20:44:07,7.48,80.91,18.22,230
2026-01-22,4:38:44,1.32,33.31,18.07,1139
2026-02-12,16:30:02,33.38,11.79,10.86,1266
